Discharge,Feelings and Urge,Pain and Infection,Physical Conditions,Critical Feelings,Critical,Disease
"Yellow,green discharge",Hunger,Anal Itching and Pain,Bloody diarrhea,Disorientation,Critical,cancer
"Yellow,green discharge",Urge to urinate,Frequent Infection,Excessive Urination and Thirst,Seizures,Critical,Diabetes
Painful Urination,Urge to urinate,Headache,Swollen testicles,Slow heart rate and pulse,Critical,cardiovascular_disease
Painful Urination,Urge to urinate,Anal Itching and Pain,NIL,NIL,Not Critical,cancer
"Yellow,green discharge",Tired,Anal Itching and Pain,Rose spots,Cough and breathing difficulties,Critical,cancer
Frequent Urination,Fever,Swollen genitals,Swollen testicles,Confusion,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Muscle Aches,NIL,Slow heart rate and pulse,Critical,cardiovascular_disease
Frequent Urination,Tired,Headache,NIL,NIL,Not Critical,Diabetes
Painful Urination,Hunger,Headache,Swollen testicles,NIL,Critical,cancer
Frequent Urination,Fever,Frequent Infection,Bloody diarrhea,Severe pelvic pain,Critical,Diabetes
Painful Urination,Tired,Headache,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
"Yellow,green discharge",Fever,Anal Itching and Pain,Rose spots,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Fever,Abdominal Pain,NIL,NIL,Not Critical,cancer
Frequent Urination,Hunger,Frequent Infection,Rashes,Slow heart rate and pulse,Critical,Diabetes
Frequent Urination,Tired,Muscle Aches,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Painful Urination,Hunger,Frequent Infection,Bloody diarrhea,Seizures,Critical,cancer
Difficulties in stooling,Urge to urinate,Abdominal Pain,Swollen testicles,Seizures,Critical,cardiovascular_disease
Painful Urination,Tired,Headache,Rashes,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Hunger,Muscle Aches,Rose spots,Confusion,Critical,cancer
Painful Urination,Fever,Frequent Infection,Swollen testicles,Cough and breathing difficulties,Critical,cancer
Difficulties in stooling,Hunger,Abdominal Pain,Rashes,Disorientation,Critical,cancer
Frequent Urination,Hunger,Muscle Aches,Rose spots,Disorientation,Critical,Diabetes
Difficulties in stooling,Hunger,Anal Itching and Pain,Swollen testicles,Seizures,Critical,cancer
"Yellow,green discharge",Fever,Abdominal Pain,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Frequent Infection,Rose spots,Cough and breathing difficulties,Critical,cardiovascular_disease
Frequent Urination,Fever,Headache,Bloody diarrhea,Slow heart rate and pulse,Critical,Diabetes
Painful Urination,Urge to urinate,Swollen genitals,Swollen testicles,Slow heart rate and pulse,Critical,cardiovascular_disease
"Yellow,green discharge",Fever,Frequent Infection,Bloody diarrhea,Seizures,Critical,cancer
Difficulties in stooling,Fever,Headache,Swollen testicles,NIL,Critical,cancer
Difficulties in stooling,Tired,Headache,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
"Yellow,green discharge",Hunger,Headache,Bloody diarrhea,Disorientation,Critical,cancer
Difficulties in stooling,Urge to urinate,Blurred Vision,Rashes,Confusion,Critical,cardiovascular_disease
Difficulties in stooling,Tired,Muscle Aches,Rose spots,Seizures,Critical,cancer
Frequent Urination,Tired,Headache,Excessive Urination and Thirst,Confusion,Critical,Diabetes
Painful Urination,Urge to urinate,Swollen genitals,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Frequent Urination,Hunger,Anal Itching and Pain,Rashes,Cough and breathing difficulties,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Headache,Swollen testicles,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Fever,Swollen genitals,Rashes,NIL,Critical,Diabetes
Difficulties in stooling,Fever,Anal Itching and Pain,Rashes,Cough and breathing difficulties,Critical,cancer
"Yellow,green discharge",Fever,Abdominal Pain,Rashes,Confusion,Critical,cancer
Difficulties in stooling,Tired,Blurred Vision,NIL,Disorientation,Critical,cancer
"Yellow,green discharge",Fever,Swollen genitals,Rashes,Cough and breathing difficulties,Critical,cancer
Painful Urination,Urge to urinate,Frequent Infection,Rashes,Slow heart rate and pulse,Critical,cardiovascular_disease
Difficulties in stooling,Fever,Muscle Aches,Bloody diarrhea,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Urge to urinate,Frequent Infection,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
Frequent Urination,Fever,Frequent Infection,Rashes,NIL,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Blurred Vision,Swollen testicles,Cough and breathing difficulties,Critical,cardiovascular_disease
Frequent Urination,Fever,Muscle Aches,Excessive Urination and Thirst,NIL,Critical,Diabetes
Painful Urination,Urge to urinate,Muscle Aches,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
Painful Urination,Tired,Swollen genitals,Swollen testicles,NIL,Critical,cancer
Difficulties in stooling,Tired,Abdominal Pain,Swollen testicles,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Hunger,Muscle Aches,Bloody diarrhea,Seizures,Critical,cancer
Frequent Urination,Urge to urinate,Blurred Vision,Bloody diarrhea,Confusion,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Frequent Infection,Rose spots,Confusion,Critical,cardiovascular_disease
Frequent Urination,Fever,Frequent Infection,Rashes,Severe pelvic pain,Critical,Diabetes
Painful Urination,Tired,Abdominal Pain,Rose spots,Slow heart rate and pulse,Critical,cancer
Painful Urination,Fever,Muscle Aches,NIL,Slow heart rate and pulse,Critical,cancer
"Yellow,green discharge",Tired,Headache,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Frequent Urination,Hunger,Swollen genitals,NIL,Seizures,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Frequent Infection,Bloody diarrhea,Cough and breathing difficulties,Critical,cardiovascular_disease
Frequent Urination,Fever,Muscle Aches,Swollen testicles,NIL,Critical,Diabetes
Difficulties in stooling,Hunger,Headache,Bloody diarrhea,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Urge to urinate,Headache,Rashes,Cough and breathing difficulties,Critical,Diabetes
Difficulties in stooling,Fever,Frequent Infection,Swollen testicles,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Fever,Blurred Vision,Swollen testicles,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Urge to urinate,Muscle Aches,Bloody diarrhea,Cough and breathing difficulties,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Anal Itching and Pain,NIL,Confusion,Critical,cardiovascular_disease
Frequent Urination,Tired,Abdominal Pain,Rose spots,Disorientation,Critical,Diabetes
Frequent Urination,Hunger,Blurred Vision,NIL,Slow heart rate and pulse,Critical,Diabetes
Painful Urination,Fever,Headache,Swollen testicles,Confusion,Critical,cancer
Painful Urination,Hunger,Muscle Aches,Excessive Urination and Thirst,Confusion,Critical,Diabetes
"Yellow,green discharge",Fever,Abdominal Pain,Bloody diarrhea,Disorientation,Critical,cancer
"Yellow,green discharge",Tired,Headache,Swollen testicles,Cough and breathing difficulties,Critical,cancer
Frequent Urination,Urge to urinate,Abdominal Pain,Bloody diarrhea,Severe pelvic pain,Critical,Diabetes
Frequent Urination,Hunger,Abdominal Pain,Rashes,Cough and breathing difficulties,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Headache,NIL,Seizures,Critical,cardiovascular_disease
Painful Urination,Hunger,Swollen genitals,Excessive Urination and Thirst,Confusion,Critical,Diabetes
Difficulties in stooling,Fever,Abdominal Pain,Bloody diarrhea,Slow heart rate and pulse,Critical,cancer
Painful Urination,Hunger,Anal Itching and Pain,Rose spots,Cough and breathing difficulties,Critical,cancer
Difficulties in stooling,Urge to urinate,Abdominal Pain,Rashes,Slow heart rate and pulse,Critical,cardiovascular_disease
Frequent Urination,Urge to urinate,Abdominal Pain,Bloody diarrhea,NIL,Critical,Diabetes
Painful Urination,Tired,Blurred Vision,Rose spots,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Muscle Aches,Rashes,Confusion,Critical,cancer
Painful Urination,Tired,Anal Itching and Pain,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
"Yellow,green discharge",Tired,Anal Itching and Pain,Rashes,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Urge to urinate,Anal Itching and Pain,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
"Yellow,green discharge",Tired,Swollen genitals,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
Frequent Urination,Fever,Headache,NIL,Cough and breathing difficulties,Critical,Diabetes
Painful Urination,Urge to urinate,Swollen genitals,Swollen testicles,Seizures,Critical,cardiovascular_disease
Painful Urination,Hunger,Blurred Vision,NIL,Cough and breathing difficulties,Critical,cancer
"Yellow,green discharge",Urge to urinate,Blurred Vision,Rashes,Disorientation,Critical,cardiovascular_disease
Frequent Urination,Hunger,Muscle Aches,Excessive Urination and Thirst,NIL,Critical,Diabetes
Frequent Urination,Urge to urinate,Swollen genitals,Excessive Urination and Thirst,Seizures,Critical,Diabetes
"Yellow,green discharge",Fever,Muscle Aches,Rose spots,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Tired,Headache,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
Painful Urination,Hunger,Swollen genitals,Bloody diarrhea,Confusion,Critical,cancer
Frequent Urination,Fever,Frequent Infection,Bloody diarrhea,Cough and breathing difficulties,Critical,Diabetes
Painful Urination,Tired,Muscle Aches,NIL,Disorientation,Critical,cancer
Painful Urination,Tired,Frequent Infection,NIL,NIL,Not Critical,cardiovascular_disease
Difficulties in stooling,Tired,Muscle Aches,Swollen testicles,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Tired,Abdominal Pain,Rashes,Disorientation,Critical,cancer
Painful Urination,Urge to urinate,Abdominal Pain,Rose spots,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Urge to urinate,Abdominal Pain,NIL,Confusion,Critical,cardiovascular_disease
"Yellow,green discharge",Hunger,Anal Itching and Pain,Rashes,Confusion,Critical,cancer
"Yellow,green discharge",Urge to urinate,Blurred Vision,Rose spots,Disorientation,Critical,cardiovascular_disease
"Yellow,green discharge",Urge to urinate,Blurred Vision,Rose spots,Slow heart rate and pulse,Critical,cardiovascular_disease
Difficulties in stooling,Fever,Headache,Bloody diarrhea,Disorientation,Critical,cancer
Painful Urination,Tired,Frequent Infection,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
Painful Urination,Urge to urinate,Headache,Rashes,Slow heart rate and pulse,Critical,cardiovascular_disease
Painful Urination,Urge to urinate,Abdominal Pain,Swollen testicles,Disorientation,Critical,cardiovascular_disease
Painful Urination,Fever,Blurred Vision,Rose spots,NIL,Critical,cancer
Difficulties in stooling,Tired,Swollen genitals,Swollen testicles,NIL,Critical,cancer
Frequent Urination,Tired,Blurred Vision,Swollen testicles,Seizures,Critical,Diabetes
"Yellow,green discharge",Hunger,Muscle Aches,Excessive Urination and Thirst,Confusion,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Swollen genitals,NIL,Slow heart rate and pulse,Critical,cardiovascular_disease
"Yellow,green discharge",Urge to urinate,Swollen genitals,NIL,Slow heart rate and pulse,Critical,cardiovascular_disease
Frequent Urination,Urge to urinate,Headache,Bloody diarrhea,Seizures,Critical,Diabetes
Painful Urination,Tired,Blurred Vision,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
Frequent Urination,Tired,Frequent Infection,Rashes,Severe pelvic pain,Critical,Diabetes
"Yellow,green discharge",Hunger,Frequent Infection,Swollen testicles,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Hunger,Anal Itching and Pain,Rose spots,Seizures,Critical,Diabetes
Frequent Urination,Fever,Blurred Vision,Rashes,Seizures,Critical,Diabetes
Frequent Urination,Fever,Muscle Aches,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Blurred Vision,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
Painful Urination,Tired,Abdominal Pain,Bloody diarrhea,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Urge to urinate,Muscle Aches,Rose spots,Cough and breathing difficulties,Critical,cardiovascular_disease
Painful Urination,Hunger,Swollen genitals,Swollen testicles,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Tired,Muscle Aches,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
"Yellow,green discharge",Hunger,Swollen genitals,Bloody diarrhea,Slow heart rate and pulse,Critical,cancer
Painful Urination,Urge to urinate,Muscle Aches,Swollen testicles,Seizures,Critical,cardiovascular_disease
Difficulties in stooling,Urge to urinate,Abdominal Pain,Rashes,Seizures,Critical,cardiovascular_disease
Difficulties in stooling,Tired,Anal Itching and Pain,Bloody diarrhea,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Urge to urinate,Swollen genitals,Rashes,Disorientation,Critical,cardiovascular_disease
Difficulties in stooling,Tired,Anal Itching and Pain,Rashes,Cough and breathing difficulties,Critical,cancer
Painful Urination,Fever,Muscle Aches,Swollen testicles,Disorientation,Critical,cancer
Frequent Urination,Fever,Headache,Swollen testicles,Severe pelvic pain,Critical,Diabetes
Difficulties in stooling,Hunger,Blurred Vision,Rashes,Cough and breathing difficulties,Critical,cancer
Painful Urination,Hunger,Blurred Vision,Rose spots,Cough and breathing difficulties,Critical,cancer
Frequent Urination,Fever,Abdominal Pain,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
Frequent Urination,Hunger,Muscle Aches,Swollen testicles,NIL,Critical,Diabetes
Painful Urination,Tired,Blurred Vision,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Frequent Urination,Urge to urinate,Headache,Swollen testicles,Severe pelvic pain,Critical,Diabetes
Painful Urination,Urge to urinate,Anal Itching and Pain,Rashes,Seizures,Critical,cardiovascular_disease
"Yellow,green discharge",Hunger,Muscle Aches,Rashes,Cough and breathing difficulties,Critical,cancer
Difficulties in stooling,Urge to urinate,Abdominal Pain,Bloody diarrhea,Disorientation,Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Blurred Vision,Rose spots,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Hunger,Muscle Aches,Excessive Urination and Thirst,Seizures,Critical,Diabetes
Painful Urination,Fever,Blurred Vision,Rashes,NIL,Critical,cancer
Painful Urination,Urge to urinate,Anal Itching and Pain,Bloody diarrhea,Slow heart rate and pulse,Critical,cardiovascular_disease
Frequent Urination,Fever,Headache,NIL,Disorientation,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Headache,NIL,Cough and breathing difficulties,Critical,cardiovascular_disease
Painful Urination,Fever,Frequent Infection,Bloody diarrhea,Confusion,Critical,cancer
"Yellow,green discharge",Hunger,Headache,Bloody diarrhea,Seizures,Critical,cancer
"Yellow,green discharge",Urge to urinate,Muscle Aches,Rose spots,Disorientation,Critical,cardiovascular_disease
Painful Urination,Urge to urinate,Frequent Infection,Excessive Urination and Thirst,Seizures,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Blurred Vision,Bloody diarrhea,Seizures,Critical,cardiovascular_disease
Painful Urination,Tired,Blurred Vision,Swollen testicles,Confusion,Critical,cancer
Painful Urination,Tired,Frequent Infection,NIL,Disorientation,Critical,cancer
Difficulties in stooling,Tired,Blurred Vision,Rose spots,Seizures,Critical,cancer
Difficulties in stooling,Tired,Anal Itching and Pain,Rose spots,Seizures,Critical,cancer
Difficulties in stooling,Hunger,Frequent Infection,Excessive Urination and Thirst,Confusion,Critical,Diabetes
Painful Urination,Urge to urinate,Blurred Vision,Bloody diarrhea,Confusion,Critical,cardiovascular_disease
"Yellow,green discharge",Tired,Blurred Vision,NIL,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Hunger,Swollen genitals,Rose spots,Confusion,Critical,Diabetes
Difficulties in stooling,Hunger,Abdominal Pain,Swollen testicles,Cough and breathing difficulties,Critical,cancer
Painful Urination,Urge to urinate,Blurred Vision,Swollen testicles,NIL,Critical,cardiovascular_disease
Difficulties in stooling,Tired,Headache,Rashes,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Fever,Abdominal Pain,NIL,Cough and breathing difficulties,Critical,cancer
Difficulties in stooling,Tired,Frequent Infection,Rose spots,Disorientation,Critical,cancer
"Yellow,green discharge",Hunger,Abdominal Pain,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
"Yellow,green discharge",Tired,Abdominal Pain,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Frequent Urination,Hunger,Swollen genitals,Rashes,Cough and breathing difficulties,Critical,Diabetes
Painful Urination,Hunger,Muscle Aches,Rashes,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Tired,Blurred Vision,Rose spots,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Hunger,Headache,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
Painful Urination,Urge to urinate,Swollen genitals,Rose spots,NIL,Critical,cardiovascular_disease
"Yellow,green discharge",Fever,Swollen genitals,Rashes,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Urge to urinate,Blurred Vision,Rashes,Seizures,Critical,cardiovascular_disease
Difficulties in stooling,Tired,Abdominal Pain,Excessive Urination and Thirst,Seizures,Critical,Diabetes
Frequent Urination,Fever,Muscle Aches,Rashes,Severe pelvic pain,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Anal Itching and Pain,NIL,Slow heart rate and pulse,Critical,cardiovascular_disease
Frequent Urination,Tired,Abdominal Pain,Bloody diarrhea,Cough and breathing difficulties,Critical,Diabetes
Difficulties in stooling,Fever,Anal Itching and Pain,Swollen testicles,Seizures,Critical,cancer
Frequent Urination,Fever,Blurred Vision,Rashes,Severe pelvic pain,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Muscle Aches,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
"Yellow,green discharge",Fever,Abdominal Pain,Bloody diarrhea,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Fever,Headache,NIL,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Hunger,Frequent Infection,Rashes,NIL,Critical,Diabetes
Frequent Urination,Tired,Swollen genitals,Rashes,Slow heart rate and pulse,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Blurred Vision,Swollen testicles,NIL,Critical,cardiovascular_disease
"Yellow,green discharge",Urge to urinate,Muscle Aches,Rose spots,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Tired,Frequent Infection,NIL,Confusion,Critical,Diabetes
Frequent Urination,Fever,Headache,Rose spots,Confusion,Critical,Diabetes
"Yellow,green discharge",Hunger,Abdominal Pain,Bloody diarrhea,Seizures,Critical,cancer
"Yellow,green discharge",Hunger,Abdominal Pain,Rashes,Disorientation,Critical,cancer
"Yellow,green discharge",Fever,Anal Itching and Pain,Swollen testicles,Disorientation,Critical,cancer
Frequent Urination,Urge to urinate,Abdominal Pain,Bloody diarrhea,Slow heart rate and pulse,Critical,Diabetes
Frequent Urination,Tired,Headache,Swollen testicles,Seizures,Critical,Diabetes
"Yellow,green discharge",Fever,Frequent Infection,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
Frequent Urination,Fever,Swollen genitals,NIL,Confusion,Critical,Diabetes
Frequent Urination,Fever,Frequent Infection,Swollen testicles,Severe pelvic pain,Critical,Diabetes
Frequent Urination,Fever,Blurred Vision,Swollen testicles,Severe pelvic pain,Critical,Diabetes
Painful Urination,Hunger,Abdominal Pain,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
Difficulties in stooling,Tired,Abdominal Pain,Rashes,Seizures,Critical,cancer
Difficulties in stooling,Hunger,Swollen genitals,Swollen testicles,NIL,Critical,cancer
"Yellow,green discharge",Hunger,Blurred Vision,Rashes,Slow heart rate and pulse,Critical,cancer
Painful Urination,Tired,Muscle Aches,Swollen testicles,Seizures,Critical,cancer
Difficulties in stooling,Fever,Muscle Aches,Excessive Urination and Thirst,Confusion,Critical,Diabetes
Difficulties in stooling,Hunger,Frequent Infection,Swollen testicles,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Fever,Blurred Vision,Bloody diarrhea,Disorientation,Critical,cancer
Frequent Urination,Urge to urinate,Anal Itching and Pain,NIL,Cough and breathing difficulties,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Anal Itching and Pain,Rose spots,Disorientation,Critical,cardiovascular_disease
"Yellow,green discharge",Tired,Frequent Infection,Excessive Urination and Thirst,NIL,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Muscle Aches,Rose spots,Seizures,Critical,cardiovascular_disease
Painful Urination,Tired,Anal Itching and Pain,Bloody diarrhea,Cough and breathing difficulties,Critical,cancer
"Yellow,green discharge",Fever,Headache,NIL,Seizures,Critical,cancer
"Yellow,green discharge",Tired,Swollen genitals,Bloody diarrhea,Seizures,Critical,cancer
Painful Urination,Fever,Blurred Vision,Rose spots,Disorientation,Critical,cancer
Painful Urination,Hunger,Blurred Vision,Excessive Urination and Thirst,NIL,Critical,Diabetes
Frequent Urination,Urge to urinate,Blurred Vision,NIL,Slow heart rate and pulse,Critical,Diabetes
"Yellow,green discharge",Fever,Muscle Aches,Bloody diarrhea,Seizures,Critical,cancer
"Yellow,green discharge",Urge to urinate,Swollen genitals,NIL,Disorientation,Critical,cardiovascular_disease
"Yellow,green discharge",Urge to urinate,Blurred Vision,Rashes,Cough and breathing difficulties,Critical,cardiovascular_disease
Painful Urination,Tired,Anal Itching and Pain,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
Painful Urination,Hunger,Blurred Vision,Bloody diarrhea,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Hunger,Abdominal Pain,Bloody diarrhea,Slow heart rate and pulse,Critical,Diabetes
Frequent Urination,Urge to urinate,Abdominal Pain,Excessive Urination and Thirst,Seizures,Critical,Diabetes
Difficulties in stooling,Fever,Blurred Vision,Bloody diarrhea,Confusion,Critical,cancer
Difficulties in stooling,Fever,Blurred Vision,NIL,Seizures,Critical,cancer
"Yellow,green discharge",Hunger,Swollen genitals,Swollen testicles,Confusion,Critical,cancer
Painful Urination,Fever,Headache,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Fever,Abdominal Pain,Bloody diarrhea,Disorientation,Critical,cancer
Difficulties in stooling,Fever,Frequent Infection,Rashes,Disorientation,Critical,cancer
Painful Urination,Tired,Headache,Bloody diarrhea,Disorientation,Critical,cancer
Painful Urination,Hunger,Headache,Excessive Urination and Thirst,Confusion,Critical,Diabetes
"Yellow,green discharge",Hunger,Abdominal Pain,Rashes,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Urge to urinate,Frequent Infection,Rose spots,Confusion,Critical,Diabetes
Difficulties in stooling,Hunger,Headache,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Painful Urination,Urge to urinate,Frequent Infection,Bloody diarrhea,Disorientation,Critical,cardiovascular_disease
Painful Urination,Fever,Blurred Vision,Rashes,Seizures,Critical,cancer
"Yellow,green discharge",Hunger,Anal Itching and Pain,Bloody diarrhea,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Fever,Blurred Vision,NIL,Slow heart rate and pulse,Critical,cancer
"Yellow,green discharge",Hunger,Headache,NIL,Disorientation,Critical,cancer
Frequent Urination,Hunger,Blurred Vision,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
Frequent Urination,Tired,Muscle Aches,NIL,Seizures,Critical,Diabetes
"Yellow,green discharge",Tired,Blurred Vision,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Difficulties in stooling,Fever,Swollen genitals,Rashes,Seizures,Critical,cancer
Painful Urination,Fever,Abdominal Pain,Rose spots,Cough and breathing difficulties,Critical,cancer
Frequent Urination,Hunger,Headache,Bloody diarrhea,Cough and breathing difficulties,Critical,Diabetes
Frequent Urination,Tired,Frequent Infection,Rose spots,Seizures,Critical,Diabetes
Painful Urination,Tired,Muscle Aches,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Difficulties in stooling,Fever,Swollen genitals,NIL,Seizures,Critical,cancer
Frequent Urination,Hunger,Abdominal Pain,Bloody diarrhea,Severe pelvic pain,Critical,Diabetes
Difficulties in stooling,Hunger,Muscle Aches,Rose spots,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Tired,Abdominal Pain,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Frequent Urination,Urge to urinate,Anal Itching and Pain,NIL,Disorientation,Critical,Diabetes
"Yellow,green discharge",Hunger,Muscle Aches,Rashes,Seizures,Critical,cancer
Painful Urination,Tired,Headache,Excessive Urination and Thirst,NIL,Critical,Diabetes
Frequent Urination,Urge to urinate,Abdominal Pain,Rashes,Disorientation,Critical,Diabetes
"Yellow,green discharge",Hunger,Muscle Aches,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Painful Urination,Urge to urinate,Abdominal Pain,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
"Yellow,green discharge",Hunger,Swollen genitals,Swollen testicles,Slow heart rate and pulse,Critical,cancer
"Yellow,green discharge",Fever,Headache,Excessive Urination and Thirst,Confusion,Critical,Diabetes
Painful Urination,Fever,Frequent Infection,Excessive Urination and Thirst,NIL,Critical,Diabetes
Difficulties in stooling,Fever,Headache,Rashes,Cough and breathing difficulties,Critical,cancer
Painful Urination,Hunger,Frequent Infection,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Anal Itching and Pain,Bloody diarrhea,Confusion,Critical,cancer
Difficulties in stooling,Urge to urinate,Swollen genitals,Swollen testicles,Confusion,Critical,cardiovascular_disease
Frequent Urination,Fever,Headache,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
"Yellow,green discharge",Fever,Frequent Infection,Swollen testicles,Cough and breathing difficulties,Critical,cancer
"Yellow,green discharge",Tired,Swollen genitals,Rose spots,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Urge to urinate,Headache,Rose spots,NIL,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Swollen genitals,Swollen testicles,NIL,Critical,cardiovascular_disease
"Yellow,green discharge",Urge to urinate,Headache,Rose spots,Confusion,Critical,cardiovascular_disease
Difficulties in stooling,Tired,Headache,Rashes,Seizures,Critical,cancer
Painful Urination,Fever,Swollen genitals,NIL,Cough and breathing difficulties,Critical,cancer
Painful Urination,Hunger,Swollen genitals,Bloody diarrhea,Seizures,Critical,cancer
Difficulties in stooling,Urge to urinate,Headache,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
Frequent Urination,Fever,Muscle Aches,Rose spots,Disorientation,Critical,Diabetes
Frequent Urination,Urge to urinate,Anal Itching and Pain,Rose spots,Seizures,Critical,Diabetes
"Yellow,green discharge",Hunger,Muscle Aches,Rose spots,Disorientation,Critical,cancer
Difficulties in stooling,Tired,Headache,Rose spots,Cough and breathing difficulties,Critical,cancer
Painful Urination,Hunger,Swollen genitals,Rashes,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Urge to urinate,Swollen genitals,Excessive Urination and Thirst,Seizures,Critical,Diabetes
"Yellow,green discharge",Tired,Abdominal Pain,Bloody diarrhea,Confusion,Critical,cancer
Painful Urination,Hunger,Headache,Bloody diarrhea,Disorientation,Critical,cancer
"Yellow,green discharge",Hunger,Abdominal Pain,Rashes,Slow heart rate and pulse,Critical,cancer
"Yellow,green discharge",Hunger,Anal Itching and Pain,Swollen testicles,Confusion,Critical,cancer
